time,value
2024-07-27T10:13:44.439428772Z,0
2024-07-27T10:14:13.313768366Z,0
2024-07-27T10:14:44.140234223Z,0
2024-07-27T10:16:30.375237469Z,0
2024-07-27T10:16:31.367490091Z,0
2024-07-27T10:23:03.541547343Z,0
2024-07-27T10:28:40.228698343Z,0
2024-07-27T10:29:58.157048254Z,0
2024-07-27T10:33:18.657871767Z,0
2024-07-27T10:33:18.964808864Z,12
2024-07-27T10:33:19.989453358Z,10
2024-07-27T10:33:20.332417646Z,14
2024-07-27T10:33:20.923946643Z,177
2024-07-27T10:33:21.834324Z,10
2024-07-27T10:33:22.348519532Z,11
2024-07-27T10:33:22.760494322Z,13
2024-07-27T10:33:24.403156449Z,13
2024-07-27T10:33:25.639572689Z,12
2024-07-27T10:33:27.055928491Z,14
2024-07-27T10:33:27.05722702Z,12
2024-07-27T10:33:27.473900085Z,27
2024-07-27T10:33:28.825525019Z,12
2024-07-27T10:33:30.236132632Z,16
2024-07-27T10:33:30.639899966Z,13
2024-07-27T10:33:31.060964208Z,14
2024-07-27T10:33:32.072020328Z,13
2024-07-27T10:33:32.789713056Z,30
2024-07-27T10:33:33.32126542Z,179
2024-07-27T10:33:34.644667395Z,178
2024-07-27T10:33:35.188342126Z,183
2024-07-27T10:33:36.080643841Z,30
2024-07-27T10:33:36.476921211Z,11
2024-07-27T10:33:37.606320179Z,10
2024-07-27T10:33:38.321142326Z,11
2024-07-27T10:33:38.627142828Z,177
2024-07-27T10:33:39.684074128Z,172
2024-07-27T10:33:39.978333922Z,173
2024-07-27T10:33:41.186591853Z,174
2024-07-27T10:33:41.697689286Z,173
2024-07-27T10:33:42.537106321Z,176
2024-07-27T10:33:43.365005149Z,173
2024-07-27T10:33:43.745125677Z,172
2024-07-27T10:33:44.669695981Z,173
2024-07-27T10:33:45.589007684Z,175
2024-07-27T10:33:46.027115139Z,176
2024-07-27T10:33:47.432663219Z,175
2024-07-27T10:33:47.856193124Z,172
2024-07-27T10:33:50.094631962Z,176
2024-07-27T10:33:50.096092923Z,173
2024-07-27T10:33:51.223777453Z,172
2024-07-27T10:33:51.733615792Z,174
2024-07-27T10:33:52.351275756Z,172
2024-07-27T10:33:53.475875904Z,173
2024-07-27T10:33:54.396359686Z,175
2024-07-27T10:33:54.717140291Z,173
2024-07-27T10:33:55.633147257Z,176
2024-07-27T10:33:56.648330929Z,175
2024-07-27T10:33:57.057977449Z,15
2024-07-27T10:33:58.092942801Z,16
2024-07-27T10:33:58.400850019Z,21
2024-07-27T10:33:59.737449437Z,38
2024-07-27T10:34:00.642260965Z,41
2024-07-27T10:34:01.164869425Z,38
2024-07-27T10:34:02.08018534Z,43
2024-07-27T10:34:02.588006809Z,47
2024-07-27T10:34:03.614658215Z,49
2024-07-27T10:34:03.923891591Z,56
2024-07-27T10:34:04.841636Z,179
2024-07-27T10:34:05.583629242Z,174
2024-07-27T10:34:06.30277225Z,175
2024-07-27T10:34:06.685537823Z,45
2024-07-27T10:34:07.92533876Z,47
2024-07-27T10:34:08.440743382Z,173
2024-07-27T10:34:08.956234798Z,18
2024-07-27T10:34:09.882402674Z,21
2024-07-27T10:34:10.384459492Z,18
2024-07-27T10:34:11.513814292Z,13
2024-07-27T10:34:11.804737833Z,10
2024-07-27T10:34:12.945055657Z,9
2024-07-27T10:34:13.248782025Z,7
2024-07-27T10:34:13.751489851Z,8
2024-07-27T10:34:14.675875322Z,6
2024-07-27T10:34:15.096686766Z,9
2024-07-27T10:34:16.113254155Z,6
2024-07-27T10:34:16.517210286Z,5
2024-07-27T10:34:17.140764183Z,4
2024-07-27T10:34:19.911318067Z,7
2024-07-27T10:34:19.91294427Z,21
2024-07-27T10:34:19.914490679Z,23
2024-07-27T10:34:19.915812018Z,22
2024-07-27T10:34:20.712551325Z,21
2024-07-27T10:34:21.446570899Z,22
2024-07-27T10:34:22.065395499Z,23
2024-07-27T10:34:22.665089752Z,174
2024-07-27T10:34:23.288635272Z,35
2024-07-27T10:34:24.296673054Z,38
2024-07-27T10:34:24.71247822Z,172
