timestamp,x,y,z
2.02481E+12,0.01,1.01,-0.07
2.02481E+12,0.99,0.71,0.59
2.02481E+12,0.52,0.38,0.71
2.02481E+12,0.71,0.25,0.73
2.02481E+12,0.7,0.33,0.7
2.02481E+11,0.69,0.31,0.71
2.02481E+11,0.6,0.34,0.71
2.02481E+11,0.66,0.23,0.72
2.02481E+11,0.66,0.19,0.87
2.02481E+11,0.87,0.26,0.89
2.02481E+11,0.72,0.23,0.74
2.02481E+11,0.8,0.24,0.7
2.02481E+11,0.55,0.3,0.55
2.02481E+11,0.22,0.19,0.45
2.02481E+11,0.62,0.27,0.76
2.02481E+12,0.63,0.41,0.72
2.02481E+12,0.71,0.39,0.68
2.02481E+12,0.62,0.43,0.71
2.02481E+12,0.72,0.39,0.68
2.02481E+12,0.65,0.34,0.77
2.02481E+12,0.6,0.42,0.75
2.02481E+12,0.7,0.44,0.7
2.02481E+12,0.66,0.45,0.75
2.02481E+12,0.57,0.35,0.77
2.02481E+12,0.55,0.4,0.72
2.02481E+12,0.61,0.35,0.75
2.02481E+12,0.71,0.32,0.78
2.02481E+12,0.66,0.3,0.74
2.02481E+12,0.63,0.28,0.7
2.02481E+12,0.66,0.28,0.71
2.02481E+12,0.67,0.29,0.78
2.02481E+12,0.59,0.26,0.73
2.02481E+12,0.78,0.31,0.86
2.02481E+12,0.51,0.21,0.64
2.02481E+12,0.72,0.27,0.78
2.02481E+12,0.68,0.28,0.77
2.02481E+12,0.67,0.28,0.76
2.02481E+12,0.66,0.26,0.75
2.02481E+12,0.65,0.25,0.73
2.02481E+12,0.66,0.27,0.75
2.02481E+12,0.65,0.27,0.74
2.02481E+12,0.66,0.27,0.75
2.02481E+12,-0.05,0.05,0.14
2.02481E+12,0.92,0.33,0.89
2.02481E+12,0.68,0.26,0.73
2.02481E+12,0.64,0.28,0.73
2.02481E+12,1.08,0.24,0.93
2.02481E+12,1.06,0.32,0.98
2.02481E+12,0.44,0.25,0.55
2.02481E+12,0.77,0.31,0.82
2.02481E+12,0.75,0.29,0.76
2.02481E+12,0.62,0.3,0.67
2.02481E+12,0.73,0.31,0.77
2.02481E+12,1.19,0.37,0.91
2.02481E+12,1.27,0.34,0.89
2.02481E+12,0.4,0.2,0.51
2.02481E+12,0.74,0.3,0.76
2.02481E+12,0.75,0.32,0.74
2.02481E+12,0.62,0.26,0.67
2.02481E+12,0.74,0.31,0.75
2.02481E+12,0.68,0.32,0.68
2.02481E+12,0.69,0.3,0.71
2.02481E+12,0.7,0.3,0.72
2.02481E+12,0.69,0.32,0.69
2.02481E+12,0.7,0.32,0.71
2.02481E+11,0.68,0.29,0.7
2.02481E+11,0.7,0.31,0.71
2.02481E+11,0.69,0.32,0.69
2.02481E+11,0.69,0.31,0.7
2.02481E+11,0.69,0.3,0.7
2.02481E+11,0.69,0.31,0.7
2.02481E+11,0.69,0.31,0.7
2.02481E+11,0.69,0.3,0.7
2.02481E+11,0.69,0.3,0.7
2.02481E+11,0.69,0.31,0.7
2.02481E+12,0.69,0.31,0.7
2.02481E+12,0.69,0.3,0.7
2.02481E+12,0.69,0.31,0.7
2.02481E+12,0.69,0.31,0.7
2.02481E+12,1.25,0.37,0.94
2.02481E+12,0.26,0.22,0.28
2.02481E+12,1.08,0.37,0.89
2.02481E+12,0.87,0.34,0.82
2.02481E+12,0.66,0.32,0.61
2.02481E+12,0.72,0.32,0.69
2.02481E+12,0.78,0.33,0.75
2.02481E+12,0.7,0.33,0.65
2.02481E+12,0.62,0.34,0.48
2.02481E+12,1.12,0.36,0.95
2.02481E+12,0.7,0.33,0.66
2.02481E+12,0.62,0.3,0.61
2.02481E+12,0.76,0.33,0.72
2.02481E+12,0.73,0.35,0.68
2.02481E+12,0.69,0.31,0.67
2.02481E+12,0.73,0.33,0.7
2.02481E+12,0.71,0.34,0.66
2.02481E+12,0.77,0.33,0.7
2.02481E+12,0.66,0.32,0.65
2.02481E+12,0.74,0.34,0.66
2.02481E+12,0.73,0.33,0.72
2.02481E+12,0.71,0.31,0.68
2.02481E+12,0.72,0.34,0.67
2.02481E+12,0.79,0.37,0.78
2.02481E+12,0.45,0.3,0.51
2.02481E+12,0.44,0.24,0.53
2.02481E+12,0.8,0.34,0.67
2.02481E+12,0.64,0.29,0.65
2.02481E+12,0.64,0.25,0.58
2.02481E+12,0.58,0.25,0.46
2.02481E+12,0.26,0.22,0.42
2.02481E+12,0.66,0.36,0.63
2.02481E+12,0.68,0.33,0.55
2.02481E+12,0.82,0.36,0.7
2.02481E+12,0.76,0.36,0.65
2.02481E+12,0.71,0.34,0.6
2.02481E+12,0.72,0.35,0.59
2.02481E+12,0.4,0.27,0.39
2.02481E+12,0.79,0.35,0.65
2.02481E+12,0.84,0.37,0.69
2.02481E+12,0.77,0.38,0.59
2.02481E+12,1.04,0.42,0.63
2.02481E+12,0.73,0.31,0.55
2.02481E+12,0.8,0.35,0.68
2.02481E+12,0.76,0.36,0.63
2.02481E+12,0.54,0.33,0.5
2.02481E+11,0.5,0.27,0.37
2.02481E+11,0.77,0.36,0.57
2.02481E+11,1.3,0.43,0.81
2.02481E+11,0.69,0.39,0.58
2.02481E+11,0.74,0.4,0.58
2.02481E+11,0.73,0.4,0.59
2.02481E+11,0.24,0.21,0.35
2.02481E+11,0.92,0.4,0.73
2.02481E+11,2.03,0.47,0.99
2.02481E+11,0.83,0.29,0.67
2.02481E+12,0.35,0.27,0.41
2.02481E+12,0.04,0.12,0.3
2.02481E+12,0.11,0.12,0.39
2.02481E+12,0.6,0.29,0.57
2.02481E+12,1.31,0.48,0.81
2.02481E+12,1.74,0.47,0.96
2.02481E+12,1.9,0.45,1.03
2.02481E+12,1.25,0.4,1.01
2.02481E+12,0.33,0.29,0.41
2.02481E+12,0.73,0.34,0.56
2.02481E+12,0.28,0.21,0.3
2.02481E+12,0.62,0.26,0.62
2.02481E+12,0.54,0.29,0.42
2.02481E+12,0.83,0.36,0.57
2.02481E+12,0.91,0.39,0.65
2.02481E+12,1.37,0.48,1.09
2.02481E+12,1.61,0.43,0.9
2.02481E+12,0.36,0.27,0.32
2.02481E+12,0.23,0.17,0.32
2.02481E+12,0.34,0.25,0.37
2.02481E+12,0.79,0.37,0.59
2.02481E+12,0.65,0.34,0.48
2.02481E+12,0.44,0.26,0.35
2.02481E+12,0.52,0.34,0.38
2.02481E+12,0.67,0.34,0.46
2.02481E+12,1.08,0.44,0.72
2.02481E+12,0.69,0.34,0.46
2.02481E+12,1.04,0.43,0.66
2.02481E+12,0.59,0.25,0.39
2.02481E+12,0.19,0.19,0.21
2.02481E+12,1.14,0.44,0.74
2.02481E+12,1.16,0.4,0.73
2.02481E+12,0.42,0.28,0.38
2.02481E+12,1.31,0.43,0.78
2.02481E+12,0.58,0.29,0.41
2.02481E+12,0.8,0.4,0.57
2.02481E+12,1.2,0.46,0.7
2.02481E+12,0.54,0.32,0.37
2.02481E+12,0.67,0.34,0.45
2.02481E+12,0.7,0.36,0.45
2.02481E+12,0.59,0.28,0.43
2.02481E+12,1.79,0.46,0.92
2.02481E+12,0.71,0.38,0.42
2.02481E+12,1.14,0.47,0.71
2.02481E+12,0.79,0.31,0.48
2.02481E+12,0.45,0.32,0.29
2.02481E+12,1.46,0.46,0.86
2.02481E+12,0.35,0.27,0.29
2.02481E+12,0.82,0.31,0.54
2.02481E+12,0.31,0.21,0.27
2.02481E+11,0.72,0.31,0.65
2.02481E+11,0.24,0.22,0.24
2.02481E+11,0.84,0.33,0.53
2.02481E+11,0.65,0.35,0.53
2.02481E+11,0.82,0.38,0.44
2.02481E+11,0.24,0.21,0.17
2.02481E+11,1.71,0.45,0.93
2.02481E+11,0.17,0.23,0.21
2.02481E+11,0.77,0.39,0.71
2.02481E+11,0.69,0.34,0.5
2.02481E+12,0.48,0.25,0.35
2.02481E+12,0.3,0.2,0.47
2.02481E+12,0.75,0.37,0.5
2.02481E+12,0.61,0.37,0.54
2.02481E+12,0.91,0.41,0.62
2.02481E+12,0.77,0.37,0.53
2.02481E+12,0.75,0.38,0.52
2.02481E+12,0.8,0.38,0.54
2.02481E+12,0.85,0.39,0.58
2.02481E+12,0.93,0.39,0.69
2.02481E+12,1.29,0.44,0.66
2.02481E+12,1.11,0.36,0.5
2.02481E+12,0.85,0.4,0.57
2.02481E+12,0.75,0.4,0.51
2.02481E+12,0.8,0.4,0.54
2.02481E+12,0.8,0.41,0.48
2.02481E+12,1.28,0.49,0.67
2.02481E+12,1.15,0.49,0.68
2.02481E+12,0.86,0.34,0.6
2.02481E+12,0.8,0.42,0.61
2.02481E+12,0.96,0.4,0.68
2.02481E+12,0.45,0.37,0.4
2.02481E+12,0.96,0.41,0.6
2.02481E+12,0.96,0.43,0.61
2.02481E+12,0.78,0.39,0.51
2.02481E+12,0.7,0.41,0.44
2.02481E+12,0.64,0.43,0.49
2.02481E+12,0.73,0.35,0.48
2.02481E+12,0.77,0.39,0.51
2.02481E+12,0.83,0.43,0.55
2.02481E+12,0.82,0.4,0.54
2.02481E+12,0.64,0.39,0.47
2.02481E+12,0.81,0.35,0.58
2.02481E+12,1.04,0.44,0.6
2.02481E+12,0.91,0.41,0.54
2.02481E+12,0.85,0.39,0.53
2.02481E+12,0.79,0.38,0.54
2.02481E+12,1.14,0.38,0.7
2.02481E+12,0.89,0.42,0.55
2.02481E+12,0.44,0.35,0.29
2.02481E+12,0.75,0.33,0.46
2.02481E+12,0.75,0.44,0.39
2.02481E+12,0.88,0.39,0.57
2.02481E+12,0.76,0.35,0.44
2.02481E+12,0.83,0.39,0.54
2.02481E+12,0.77,0.35,0.55
2.02481E+12,0.81,0.38,0.52
2.02481E+12,0.73,0.39,0.49
2.02481E+12,0.82,0.39,0.52
2.02481E+12,0.74,0.38,0.51
2.02481E+11,0.77,0.39,0.49
2.02481E+11,0.59,0.33,0.45
2.02481E+11,0.84,0.38,0.57
2.02481E+11,1.01,0.38,0.6
2.02481E+11,0.76,0.39,0.47
